Korisnik: ana
RelativnoVreme_ms,IR_Signal
11366,249217
11366,249211
11366,249138
11366,249046
11366,249032
11367,249145
11367,249216
11367,249299
11467,249365
11467,249417
11467,249449
11467,249496
11476,249503
11476,249487
11476,249534
11569,249553
11578,249509
11578,249546
11578,249600
11775,249622
11776,249643
11776,249645
11776,249620
11776,249108
11978,248600
11978,248406
11978,248270
11978,248594
11979,248787
11979,248986
11979,249049
12286,249072
12286,249110
12288,249163
12289,249126
12289,249112
12289,249016
12289,249033
12289,249034
12289,249125
12289,249251
12289,249358
12290,249385
12290,249438
12290,249485
12293,249517
12293,249523
12294,249502
12303,249511
12388,249475
12696,249522
12696,249519
12696,249555
12696,249591
12696,249592
12696,249654
12697,249643
12697,249285
12697,248798
12697,248403
12697,248421
12697,248686
12697,248868
12798,249076
12798,249138
13107,249172
13107,249208
13107,249231
13107,249230
13107,249160
13107,249115
13108,249092
13108,249158
13108,249281
13108,249302
13108,249388
13108,249460
13109,249477
13109,249504
13310,249529
13310,249588
13310,249536
13311,249532
13311,249538
13311,249585
13311,249594
13311,249590
13413,249616
13413,249641
13414,249662
13518,249538
13518,248926
13518,248583
13518,248494
13519,248628
13939,248894
13940,249058
13940,249155
13940,249174
13940,249197
13940,249295
13941,249251
13941,249186
13941,249134
13941,249053
13941,249128
13941,249183
13941,249275
13942,249327
13942,249438
13942,249444
13942,249466
14438,249485
14438,249467
14438,249495
14438,249497
14439,249530
14439,249559
14439,249549
14439,249622
14439,249634
14439,249708
14440,249700
14440,249343
14440,248883
14440,248477
14440,248503
14440,248721
14440,248908
14440,248963
14441,249122
14441,249157
14441,249188
14641,249215
14642,249209
14642,249177
14642,249101
14643,249077
14643,249096
14643,249217
14643,249237
14744,249317
14745,249389
14745,249467
14745,249486
14792,249507
14793,249500
14793,249533
14793,249495
14797,249553
14821,249531
14910,249551
15053,249578
15053,249621
15053,249641
15053,249657
15053,249429
15054,248811
15054,248560
15064,248553
15065,248632
15154,248960
15377,249038
15378,249120
15378,249142
15563,249241
15564,249263
15564,249199
15564,249177
15565,249037
15565,249056
15565,249120
15565,249194
15565,249281
15565,249320
15565,249416
15565,249428
15566,249453
15667,249492
15667,249490
15667,249543
15668,249561
15768,249545
15768,249547
15768,249582
15768,249637
15769,249656
16075,249599
16075,249369
16076,248857
16076,248736
16076,248796
16076,248960
16076,249125
16076,249190
16077,249247
16077,249239
16077,249253
16077,249280
16177,249201
16178,249130
16178,249071
16382,249074
16383,249141
16383,249211
16383,249267
16383,249272
16383,249297
16384,249337
16384,249311
16384,249311
16484,249279
16485,249291
16485,249294
16485,249313
16792,249328
16792,249354
16793,249298
16793,249087
16793,248579
16793,248362
16793,248353
16793,248485
16794,248733
16794,248805
16794,248848
16794,248886
16794,248935
16894,248994
16894,248910
16895,248847
16895,248770
16970,248770
16971,248787
16971,248845
16971,248901
17099,248915
17099,248950
17100,248942
17100,248961
17304,248944
17304,248896
17305,248855
17305,248885
17305,248865
17305,248925
17305,248909
17306,248631
17510,248263
17510,248024
17511,248049
17511,248199
17511,248366
17511,248465
17511,248482
17512,248454
17512,248481
17512,248505
17815,248480
17815,248458
17815,248355
17815,248278
17816,248292
17816,248403
17816,248438
17816,248477
17816,248521
17816,248527
17817,248579
17817,248650
17827,248637
17828,248687
17828,248688
17877,248689
17918,248672
18123,248475
18123,248182
18123,247938
18123,247927
18124,248108
18124,248229
18124,248357
18430,248373
18430,248441
18430,248482
18431,248492
18431,248519
18431,248472
18432,248477
18432,248422
18432,248428
18432,248460
18432,248501
18432,248570
18533,248588
18533,248594
18533,248613
18840,248645
18840,248625
18840,248637
18841,248654
18841,248665
18841,248507
18841,248132
18841,247993
18841,248049
18841,248172
18842,248433
18842,248504
18842,248613
18842,248661
19249,248706
19249,248705
19250,248673
19250,248605
19250,248546
19251,248563
19251,248623
19251,248699
19251,248779
19251,248828
19251,248862
19251,248882
19252,248902
19252,248901
19252,248950
19252,248998
19252,248904
19258,248574
19259,248205
19259,248121
19556,248235
19557,248401
19557,248584
19557,248648
19557,248697
19557,248729
19557,248742
19558,248780
19558,248750
19558,248685
19558,248656
19659,248681
19659,248737
19761,248753
19761,248829
19762,248898
19772,248897
19772,248908
19772,248922
19772,248931
19783,248930
20068,248930
20069,248700
20069,248378
20069,248143
20171,248150
20171,248360
20171,248503
20172,248645
20172,248702
20172,248751
20172,248790
20172,248827
20172,248792
20172,248761
20376,248705
20377,248774
20377,248758
20377,248878
20377,248944
20377,248991
20377,249029
20478,249069
20478,249061
20478,249084
20478,249103
20704,249132
20704,249089
20704,248784
20704,248503
21092,248357
21092,248440
21092,248633
21093,248814
21093,248885
21093,248901
21093,248951
21093,248933
21093,248959
21094,248900
21094,248846
21094,248805
21094,248804
21094,248833
21094,248874
21094,248922
21095,248933
21095,248934
21095,248968
21095,248969
21095,248986
21098,249002
21098,249005
21098,248974
21109,248994
21194,249006
21201,248842
21201,248555
21211,248278
21400,248343
21401,248491
21401,248592
21401,248716
21502,248751
21503,248770
21503,248770
21503,248762
21503,248776
21603,248744
21604,248680
21604,248690
21604,248749
21809,248829
21809,248838
21810,248864
21810,248894
21810,248911
21810,248937
21810,248919
21811,248931
22115,248929
22116,248937
22116,248927
22116,248944
22116,248979
22116,248956
22116,248965
22117,248782
22117,248404
22117,248316
22117,248308
22117,248465
22117,248619
22322,248745
22322,248809
22322,248835
22322,248881
22323,248882
22323,248845
22323,248773
22323,248733
22487,248752
22488,248821
22488,248869
22488,248915
22488,248935
22489,248958
22489,248980
22489,248963
22489,248979
22498,248999
22511,249011
22543,249021
22628,249005
22935,249064
