Korisnik: anana
RelativnoVreme_ms,IR_Signal
13006,253730
13031,253217
13040,253079
13046,253171
13109,253267
13110,253339
13112,253523
13313,253566
13621,253578
13622,253647
13624,253668
13625,253727
13626,253731
13627,253597
13629,253632
13630,253595
13631,253654
13632,253755
13633,253822
13634,253844
13635,253885
13636,253916
13637,253934
13826,253984
13827,253999
13828,254004
13829,253950
13830,253551
13832,253155
13833,253074
13834,253162
13835,253177
13836,253459
13837,253530
13838,253596
13839,253537
13847,253564
13929,253637
13930,253674
13931,253627
14030,253594
14235,253564
14236,253560
14237,253643
14239,253691
14240,253788
14241,253812
14242,253903
14244,253873
14245,253974
14246,253987
14247,253945
14250,253989
14338,254030
14644,254001
14645,254017
14647,253847
14648,253714
14649,253150
14650,252976
14651,253059
14653,253340
14654,253422
14655,253557
14656,253571
14749,253563
14750,253565
14752,253663
14753,253638
14754,253621
14755,253589
14756,253560
14758,253611
14849,253680
14858,253739
14860,253805
14861,253845
14870,253863
14895,253882
14952,253885
14961,253899
14970,253912
15054,253943
15062,253938
15063,253997
15066,253966
15079,254025
15155,254007
15165,254055
15168,253770
15180,253399
15268,253074
15269,253021
15270,253218
15280,253346
15362,253514
15668,253534
15670,253530
15671,253527
15672,253577
15674,253573
15675,253509
15676,253508
15676,253432
15677,253467
15678,253563
15679,253592
15679,253702
15680,253718
15681,253722
15682,253778
15730,253785
15736,253783
15751,253823
15772,253819
15874,253832
16081,253863
16082,253898
16083,253892
16084,253918
16085,253893
16086,253488
16087,253196
16490,253030
16491,253019
16493,253236
16494,253407
16495,253508
16496,253563
16497,253545
16498,253532
16500,253558
16501,253557
16502,253503
16503,253449
16737,253447
16738,253417
16739,253484
16742,253564
16743,253672
16744,253686
16745,253732
16746,253820
16748,253849
16749,253849
16749,253822
16750,253855
16751,253849
16752,253888
16752,253852
16753,253927
16754,253928
16755,253936
16755,253828
16779,253566
16794,253047
16900,252942
16906,253068
16907,253185
16908,253339
16931,253470
16939,253447
16954,253447
17009,253460
17011,253470
17063,253569
17068,253500
17084,253484
17129,253426
17134,253434
17409,253466
17411,253554
17412,253610
17413,253679
17415,253727
17416,253738
17418,253736
17614,253794
17616,253770
17617,253795
17618,253839
17619,253801
17620,253898
17621,253910
17623,253913
17730,253867
17731,253753
17732,253620
17734,253138
17735,252945
17736,252998
17737,253155
17739,253327
17740,253419
17747,253438
17818,253420
17828,253454
17831,253485
17846,253516
17921,253446
18034,253418
18035,253368
18036,253444
18037,253459
18039,253523
18040,253615
18046,253631
18127,253683
18151,253719
18153,253692
18160,253712
18238,253733
18240,253729
18241,253756
18243,253792
18331,253846
18339,253837
18340,253858
18343,253670
18433,253175
18443,252992
18445,252941
18446,253056
18529,253235
18638,253402
18640,253471
18646,253447
18647,253484
18648,253518
18650,253519
18651,253525
