Korisnik: smilja
RelativnoVreme_ms,IR_Signal
11099,254741
11202,254696
11203,254691
11205,254680
11206,254671
11207,254715
11208,254740
11209,254758
11211,254778
11296,254810
11504,254829
11505,254833
11507,254802
11508,254808
11509,254783
11510,254763
11511,254634
11513,254344
11514,254113
11515,254125
11516,254231
11602,254398
11717,254443
11718,254503
11720,254540
11721,254586
11722,254584
11723,254595
11725,254567
11726,254525
11731,254587
11806,254596
11810,254653
11815,254655
11908,254640
12113,254697
12115,254684
12116,254674
12117,254672
12118,254694
12120,254696
12121,254680
12324,254670
12325,254693
12326,254693
12327,254672
12328,254626
12330,254340
12331,254159
12332,254115
12525,254119
12527,254270
12529,254416
12530,254423
12531,254508
12533,254526
12534,254559
12535,254545
12537,254525
12832,254453
12833,254438
12834,254436
12835,254425
12837,254439
12838,254479
12839,254535
12840,254546
12841,254555
12842,254605
12844,254589
12845,254595
12938,254603
12940,254588
12941,254579
12942,254537
12943,254545
12945,254566
12946,254485
12948,254280
12949,254055
13036,254024
13150,254149
13151,254198
13152,254261
13153,254292
13155,254302
13156,254328
13157,254403
13164,254384
13446,254374
13447,254341
13449,254317
13450,254344
13451,254368
13452,254372
13453,254358
13651,254421
13652,254446
13677,254422
13678,254443
13679,254401
13680,254433
13682,254419
13683,254429
13856,254426
13858,254382
13859,254405
13860,254376
13861,254406
13862,254320
13864,254135
13865,253968
14013,253899
14015,254035
14016,254129
14017,254185
14018,254228
14019,254324
14021,254337
14022,254361
14023,254382
14161,254322
14163,254277
14164,254312
14165,254318
14377,254352
14378,254361
14379,254385
14381,254405
14382,254439
14383,254376
14384,254354
14385,254428
14386,254393
14387,254392
14388,254416
14389,254440
14390,254509
14570,254467
14675,254445
14676,254511
14677,254480
14679,254398
14680,254175
14681,254070
14682,254117
14683,254171
14685,254232
14686,254296
14687,254342
14776,254289
14979,254349
14981,254398
14982,254328
14983,254309
14985,254229
14986,254192
14987,254226
15185,254251
15186,254263
15187,254309
15188,254341
15190,254324
15191,254336
15192,254320
15193,254362
15291,254384
15293,254343
15294,254334
15295,254347
15296,254391
15298,254334
15299,254405
15300,254219
15301,254078
15390,253875
15594,253952
15595,254008
15595,254047
15596,254075
15597,254154
15598,254185
15599,254186
15700,254271
15700,254258
15701,254187
15702,254170
15703,254170
15703,254172
15704,254210
15705,254213
15708,254255
15798,254268
15802,254303
15803,254331
15809,254307
15902,254326
16107,254340
16109,254323
16110,254354
16111,254340
16112,254303
16114,254293
16220,254300
16222,254314
16224,254309
16225,254082
16226,253827
16227,253775
16228,253865
16229,253969
16231,254018
16255,254049
16256,254150
16270,254176
16317,254233
16418,254201
16420,254243
16421,254178
16422,254228
16423,254214
16518,254270
16522,254272
16524,254282
16525,254320
16619,254322
16731,254350
16733,254337
16734,254358
16735,254399
16736,254404
16738,254417
16739,254454
16940,254400
16942,254400
16943,254426
16944,254458
16945,254413
16947,254292
16948,254033
16949,253971
17142,253986
17143,254022
17144,254079
17145,254144
17146,254196
17148,254236
17149,254231
17150,254228
17151,254180
17234,254125
17440,254139
17442,254115
17443,254087
17444,254118
17446,254187
17447,254213
17448,254177
17449,254227
17450,254262
17451,254273
17452,254228
17540,254252
17652,254255
17653,254250
17654,254234
17655,254222
17656,254210
17656,254145
17657,253854
17660,253750
17748,253751
17859,253807
17860,253885
17861,253991
17862,254056
17863,254037
17865,254119
17866,254124
17950,254094
18155,254085
18156,254014
18157,254050
18159,254030
18161,254058
18162,254073
18163,254141
18465,254168
18466,254195
18468,254214
18469,254217
18470,254237
18471,254281
18472,254305
18474,254259
18668,254235
18669,254210
18670,254263
18671,254238
18672,254188
18674,253985
18675,253763
18676,253750
18677,253798
18678,253844
18679,253937
18680,253986
18813,254069
18815,254106
18816,254129
18817,254170
18818,254137
18819,254155
18820,254129
18822,254139
18823,254152
18824,254222
18825,254266
18872,254267
18875,254306
18884,254361
18975,254375
19182,254452
19183,254436
19185,254503
19186,254492
19187,254533
19188,254544
19391,254559
19392,254538
19394,254482
19395,254227
19397,254106
19398,254068
19399,254073
19400,254106
19402,254168
19403,254268
19404,254299
19405,254335
19406,254385
19407,254356
19489,254289
19494,254208
19495,254161
19506,254155
19590,254122
19805,254169
19806,254177
19807,254213
19808,254234
19810,254226
19811,254216
19813,254254
19814,254272
19815,254290
19816,254310
19817,254346
19827,254336
19897,254064
19901,253879
19902,253841
19997,253800
20112,253888
20113,253929
20115,254051
20116,254133
20117,254163
20118,254163
20119,254261
20120,254321
20203,254300
20316,254270
20317,254223
20319,254202
20320,254209
20321,254243
20322,254269
20323,254312
20407,254258
20613,254298
20614,254392
20616,254407
20617,254463
20618,254424
20619,254436
20808,254455
20809,254479
20811,254265
20812,254031
20813,253956
20814,253997
20816,254096
20818,254197
20819,254256
21022,254351
21022,254399
21023,254495
21024,254546
21025,254548
21025,254643
21026,254810
21027,255034
21227,255238
21228,255462
21230,255812
21231,255996
21232,256090
21233,256120
21234,256133
21236,256154
21434,256133
21435,255988
21437,255881
21438,255407
21439,255228
21440,255190
21441,255061
21442,255150
21444,255358
21636,255685
21637,255925
21638,255786
21639,255146
21639,254755
21640,254297
21641,254035
21642,253776
21842,253689
21843,253580
21845,253829
21846,255149
21847,256405
21848,258008
21849,258634
21851,259761
22041,260503
22042,257118
22042,249302
22043,243209
22044,114688
