Korisnik: katarina
RelativnoVreme_ms,IR_Signal
11060,250006
11061,250046
11062,250179
11064,250267
11065,250286
11067,250329
11068,250299
11069,250339
11163,250359
11164,250380
11165,250327
11166,250307
11573,250337
11574,250359
11575,250375
11576,250386
11578,250450
11579,250454
11580,250474
11581,250427
11582,250433
11583,250484
11584,250448
11585,250477
11586,250479
11587,250518
11588,250444
11589,250341
11589,250068
11674,250007
11675,250006
11677,250102
11678,250209
11697,250260
11698,250255
11699,250247
11714,250308
11721,250334
11777,250313
11880,250236
12084,250210
12085,250241
12087,250302
12088,250271
12089,250316
12090,250327
12092,250464
12093,250474
12094,250467
12095,250472
12191,250420
12192,250448
12194,250473
12195,250492
12289,250453
12290,250479
12291,250482
12391,250381
12392,250131
12393,249979
12395,249986
12396,250110
12398,250275
12399,250386
12400,250387
12410,250311
12494,250304
12597,250318
12598,250316
12600,250292
12802,250223
12804,250230
12805,250254
12806,250288
12807,250300
12809,250383
12810,250380
12811,250382
12812,250365
12903,250393
12905,250421
12906,250422
12907,250395
12966,250471
12967,250610
12968,250651
12969,250620
13001,250565
13009,250510
13010,250317
13109,250065
13314,250034
13315,250149
13316,250215
13318,250234
13319,250214
13320,250235
13322,250297
13323,250308
13324,250276
13325,250312
13326,250368
13332,250383
13416,250368
13427,250460
13428,250457
13433,250525
13620,250535
13622,250554
13624,250556
13625,250556
13626,250542
13723,250539
13724,250543
13725,250603
13726,250595
13927,250610
13928,250633
13930,250511
13931,250331
13932,250156
13933,250137
13934,250226
13936,250320
13937,250363
13938,250395
13939,250397
13944,250370
13975,250411
14031,250409
14032,250413
14044,250389
14132,250378
14235,250363
14236,250386
14238,250432
14239,250514
14439,250539
14440,250588
14441,250592
14442,250566
14444,250529
14445,250565
14446,250574
14447,250602
14452,250577
14453,250552
14454,250553
14467,250523
14543,250362
14952,250131
14953,250079
14954,250117
14954,250249
14955,250419
14956,250515
14957,250435
14958,250336
14958,250373
14959,250406
14960,250438
14961,250453
14961,250395
14962,250413
14963,250422
14963,250433
15033,250350
15034,250418
15036,250506
15158,250506
15160,250495
15161,250439
15162,250485
15163,250551
15261,250514
15262,250482
15263,250490
15264,250534
15265,250569
15361,250524
15362,250287
15363,250109
15365,250026
15371,250025
15372,250132
15398,250174
15412,250210
15421,250240
15464,250210
15469,250182
15772,250230
15773,250257
15797,250293
15798,250243
15799,250254
15801,250294
15802,250283
15803,250263
15804,250284
15873,250395
15875,250460
15876,250424
15877,250364
15878,250335
15975,250318
15977,250350
15978,250399
15979,250446
16057,250527
16058,250513
16059,250293
16061,250147
16284,250085
16285,250140
16286,250246
16288,250296
16289,250296
16290,250277
16291,250296
16292,250325
16795,250355
16797,250297
16798,250202
16799,250187
16800,250259
16802,250247
16803,250277
16804,250316
16805,250351
16806,250375
16807,250387
16809,250394
16809,250417
16810,250450
16811,250427
16812,250423
16813,250431
16813,250425
16814,250350
16815,250165
16816,250072
17000,250075
17001,250161
17002,250176
17004,250202
17005,250258
17006,250246
17008,250219
17009,250289
17073,250270
17074,250274
17075,250234
17077,250263
17080,250333
17086,250295
17103,250261
17307,250302
17614,250359
17615,250383
17617,250359
17618,250380
17619,250409
17620,250426
17622,250417
17623,250416
17624,250403
17625,250496
17626,250503
17627,250310
17628,250086
17923,249964
17924,249988
17925,250094
17927,250173
17928,250186
17929,250199
17930,250164
17931,250187
17933,250212
17934,250223
17935,250234
17936,250218
17937,250246
17938,250280
17939,250292
17939,250287
18024,250328
18025,250361
18026,250430
18028,250400
18029,250389
18230,250413
18232,250437
18233,250490
18234,250564
18236,250547
18237,250503
18238,250480
18239,250487
18240,250516
18331,250354
18333,250158
18433,250007
18435,250113
18436,250251
18437,250272
18438,250327
18537,250334
18538,250262
18539,250268
18541,250373
18542,250370
18741,250282
18742,250235
18743,250220
18745,250233
18746,250273
18747,250352
18749,250352
18750,250353
18751,250348
18752,250389
18762,250425
18843,250420
18845,250396
18866,250404
18947,250386
18948,250375
19001,250368
19003,250382
19004,250281
19048,250098
19049,249896
19052,249901
19662,249979
19664,250009
19665,250050
19666,250072
19668,250101
19669,250098
19670,250094
19671,250110
19672,250109
19674,250090
19675,250109
19676,250063
19677,250104
19678,250173
19679,250168
19679,250129
19680,250171
19681,250242
19682,250220
19682,250212
19683,250235
19684,250232
19685,250218
19969,250276
19970,250263
19971,250278
19972,250364
19972,250278
19973,250000
19974,249866
19975,249922
19975,249973
19976,250050
19977,250046
19978,250026
19978,250079
20584,250069
20585,250090
20587,250107
20588,250105
20589,250098
20590,250087
20591,250032
20592,250108
20593,250167
20594,250191
20595,250213
20596,250222
20597,250225
20598,250257
20599,250262
20599,250283
20600,250277
20601,250289
20602,250287
20602,250308
20603,250297
20604,250334
20605,250365
20605,250366
20606,250325
20607,250155
20607,249951
20618,249885
20790,249957
21049,250061
21051,250119
21052,250106
21053,250105
21055,250117
21056,250170
21058,250201
21059,250165
21060,250133
21061,250036
21062,250101
21063,250105
21064,250132
21065,250164
21066,250208
21067,250278
21200,250242
21711,250190
21712,250282
21713,250270
21714,250261
21716,250226
21717,250318
21718,250299
21719,250318
21720,250342
21721,250351
21723,250114
21724,249952
21725,249830
21726,249837
21726,249850
21727,249839
21728,249866
21729,250016
21729,250308
21730,250502
21731,250706
21732,250637
21732,250482
21733,250395
22222,250346
22223,250412
22225,250606
22226,250646
22227,250536
22228,250455
22230,250427
22231,250419
22232,250303
22233,250210
22234,250185
22236,250169
22236,250226
22237,250245
22238,250174
22239,250162
22240,249918
22240,249772
22241,249843
22242,249961
22243,250004
22375,250036
22376,250066
22377,250045
22378,249986
22379,249937
22381,249911
22382,249904
22383,249925
22384,249899
22473,249910
22632,249879
22634,249883
22635,249932
22636,249975
22637,249992
22638,250126
22640,250149
22641,250140
22642,250113
22654,250087
22735,250053
22748,249988
22749,249903
22940,249697
22941,249627
22943,249591
22944,249671
22945,249745
22946,249824
22951,249816
22952,249802
22960,249785
23033,249826
23108,249866
23110,249839
23349,249833
23350,249865
23351,249858
23353,249877
23354,249911
23355,249923
23356,249960
23358,249981
23360,249981
23361,250012
23363,250095
23364,250133
23365,250154
23366,250132
23451,249906
23657,249774
23658,249707
23659,249733
23660,249862
23662,249910
23663,250003
23664,249983
23665,249990
23758,249967
23759,249974
23761,249940
23860,249936
23861,249904
23863,249880
23864,249926
23866,249940
23867,249998
23868,250022
23870,250051
23964,250035
23976,250060
23978,250001
23979,250042
23987,250090
24067,250087
24121,250069
24123,249908
24124,249648
24125,249557
24139,249582
24184,249662
24213,249752
24227,249791
24373,249745
24374,249754
24375,249778
24377,249793
24474,249799
24476,249783
24477,249731
24478,249726
24680,249720
24681,249747
24682,249770
24683,249785
24685,249786
24686,249769
24687,249781
24688,249835
24689,249814
24783,249799
24784,249823
24785,249823
24786,249776
24790,249802
24791,249636
24988,249472
24989,249330
24990,249322
24992,249411
24993,249499
24994,249529
24995,249518
24996,249482
25001,249477
25090,249504
25106,249528
25107,249487
25108,249473
25151,249516
25152,249512
25207,249544
25208,249569
25219,249622
25398,249622
25400,249598
25401,249562
25402,249601
25408,249601
25410,249586
25411,249575
25601,249571
25603,249557
25626,249584
25628,249555
25629,249567
25630,249514
26011,249237
26012,249105
26013,249085
26015,249167
26016,249204
26017,249281
26018,249349
26019,249332
26021,249333
26022,249352
26023,249417
26024,249395
26025,249369
26026,249344
26027,249328
26028,249372
26113,249391
26115,249435
26117,249459
26118,249474
26524,249484
26526,249473
26527,249511
26528,249528
26530,249518
26532,249540
26533,249564
26534,249531
26535,249467
26536,249344
26538,249237
26538,249116
26539,249103
26540,249189
26541,249277
26542,249308
26542,249324
26626,249329
26627,249354
26628,249339
26630,249359
26729,249378
26730,249378
26731,249400
26733,249360
26830,249389
26831,249402
26833,249431
26834,249458
26932,249465
26934,249446
26935,249478
26936,249457
26937,249453
27138,249502
27140,249503
27141,249485
27143,249470
27144,249549
27145,249526
27146,249550
27148,249413
27244,249170
27245,249089
27247,249129
27445,249248
27447,249354
27448,249368
27449,249340
27450,249301
27451,249372
27452,249391
27454,249402
27455,249385
27649,249358
27651,249372
27653,249383
27654,249398
27655,249396
27656,249465
27657,249506
27659,249504
27660,249491
27855,249489
27856,249494
27857,249506
27858,249501
27860,249441
27861,249477
27862,249479
27863,249479
27959,249471
27961,249503
27962,249480
27963,249516
28059,249468
28060,249221
28062,249064
28063,249051
28163,249088
28164,249217
28166,249265
28167,249245
28264,249241
28265,249211
28266,249239
28267,249249
28269,249256
28367,249232
28368,249170
28369,249156
28469,249192
28470,249212
28472,249258
28473,249301
28474,249339
28673,249378
28675,249390
28676,249363
28677,249355
28678,249434
28679,249448
28681,249443
28682,249448
28683,249507
28775,249474
28777,249310
28778,249107
28784,249024
28785,249062
28786,249185
28797,249219
29082,249248
29084,249238
29085,249253
29087,249252
29088,249312
29203,249317
29204,249291
29205,249262
29206,249275
29207,249276
29209,249334
29210,249326
29211,249371
29391,249410
29392,249437
29393,249413
29395,249412
29396,249389
29397,249422
29398,249464
29400,249497
29401,249500
29402,249548
29403,249445
29699,249244
29800,249097
29802,249036
29803,249079
29805,249083
29806,249179
29807,249234
29809,249249
29810,249227
29811,249218
29812,249265
29813,249259
29814,249230
29815,249216
29816,249223
29817,249238
29817,249253
29828,249276
29903,249376

Status: NORMALNO
Konacan_BPM:100
Konacan_SpO2:97
