Korisnik: dd
RelativnoVreme_ms,IR_Signal
11681,261069
11684,261100
11686,261093
11689,261091
11692,261102
11694,261115
11697,261140
11700,261123
11702,261071
11704,261059
11981,261026
11985,261012
11987,260988
11990,261007
11993,261003
11995,261033
11998,261041
12000,261035
12003,261058
12005,261043
12007,261007
12009,261010
12597,261022
12599,261092
12602,261042
12605,261010
12608,261003
12610,261002
12613,260998
12615,261023
12618,261011
12620,260995
12623,260991
12625,261026
12627,261038
12630,261003
12632,260969
12634,260874
12636,260709
12638,260628
12641,260546
12643,260579
12646,260626
12904,260610
12908,260640
12910,260595
12914,260665
12916,260615
12918,260610
12921,260627
12923,260595
12925,260646
12928,260740
12930,260811
12933,260833
12935,260838
12937,260963
12939,260996
12941,260985
12944,260874
12946,260731
12948,260733
12951,260761
13518,260814
13521,260788
13523,260793
13526,260879
13529,260932
13531,260985
13533,260989
13536,261044
13538,261073
13541,261171
13543,261182
13546,261124
13549,261067
13551,261024
13554,261010
13556,261007
14442,261110
14445,261300
14448,261375
14450,261535
14453,261622
14456,261760
14458,261888
14460,262081
14463,262143
14465,262143
14468,262111
14470,261977
14473,261939
14475,262016
14477,262030
14480,262063
14482,262096
14484,262111
14487,262106
14489,262142
14492,262109
14494,262117
14497,262143
14499,262143
14503,262143
14505,262143
14508,262143
14510,262143
14513,262143
14516,262143
14518,262143
14521,262143
14523,262143
14526,262143
14528,262143
14531,262143
14533,262143
14644,262143
14647,262143
14649,262143
14652,262143
14655,262143
14657,262143
14659,262143
14661,262143
14664,262143
14666,262143
14669,262143
14672,262143
14674,262143
14849,262143
14851,262143
14854,262143
14857,262143
14860,262110
14863,261929
14865,261933
14869,262061
14872,262089
14874,262143
14876,262143
14879,262143
14951,262143
15069,262143
15071,262143
15074,262143
15077,262143
15079,262143
15082,262143
15085,262143
15156,262143
15165,262143
15168,262143
15171,262143
15174,262143
15205,262143
15686,262143
15688,262143
15713,262143
15716,262143
15718,262143
15721,262143
15723,262143
15726,262143
15728,262143
15731,262143
15733,262143
15736,262143
15738,262143
15741,262143
15743,262143
15745,262143
15747,262143
15749,262143
15752,262143
15976,262143
15979,262143
15982,262143
15984,262143
15987,262143
15990,262143
15992,262143
15995,262143
16081,262143
16084,262143
16086,262143
16090,262143
16094,262143
16097,262143
16099,262143
16101,262143
16488,262143
16490,262143
16493,262143
16496,262143
16499,262143
16502,262143
16505,262143
16508,262143
16510,262143
16512,262143
16515,262143
16518,262143
16795,262143
16798,262143
16800,262143
16803,262143
16806,262143
16810,262143
16812,262143
16815,262143
17102,262143
17105,262143
17107,262143
17110,262143
17112,262005
17115,261906
17118,261997
17120,262082
17123,262143
17125,262143
17127,262143
17130,262143
17132,262143
17136,262143
17138,262143
17140,262143
17142,262143
17614,262143
17617,262143
17620,262143
17622,262143
17625,262143
17628,262143
17631,262143
17633,262143
17635,262143
17637,262143
17640,262143
17643,262143
17645,262143
17647,262143
17650,262143
17652,262143
18127,262143
18130,262143
18132,262143
18135,262143
18137,262143
18139,262143
18142,262143
18144,262143
18146,262143
18148,262143
18151,262143
18154,262143
18156,262143
18159,262143
18161,262143
18163,262143
18165,262143
18168,262143
18170,262143
18173,262143
18175,262143
18178,262143
18180,262143
18183,262143
18185,262143
18188,262143
18191,262143
18193,262125
18195,262139
18198,262038
18433,262085
18436,262027
18439,261981
18441,262093
18444,262143
18447,262143
18450,262143
18452,262143
18455,262116
18457,262110
18460,262082
18463,262086
18560,262051
18563,261961
18565,261950
18569,261971
18579,262007
18651,262043
18654,262084
18665,262141
18765,262143
18768,262143
18770,262143
18865,262050
18868,262020
18885,261990
18888,261995
18890,261985
18893,261974
18946,261981
19561,261954
19563,262008
19566,261998
19570,262003
19573,262041
19576,262011
19578,262021
19581,261999
19584,261995
19586,261954
19589,261987
19591,262008
19593,262079
19595,262078
19598,262094
19600,262113
19603,262105
19605,262143
19608,262143
19611,262143
19613,262143
19616,262143
20072,262143
20075,262143
20077,262143
20081,262143
20083,262143
20086,262080
20089,262066
20091,262143
20094,262143
20096,262143
20099,262143
20101,262143
20104,262143
20106,262143
20109,262143
20111,262143
20114,262143
20116,262143
20119,262143
20121,262143
20277,262143
20279,262143
20282,262143
20285,262143
20288,262143
20587,262143
20590,262143
20593,262143
20596,262143
20598,262143
20601,262143
20604,262143
20606,262143
20609,262143
20611,262143
20615,262143
20618,262143
20621,262143
20623,262143
20626,262143
20628,262143
20890,262143
20893,262143
20895,262143
20898,262143
20900,262143
20903,262143
20905,262143
20908,262143
20911,262143
20913,262143
20916,262143
20918,262143
21096,262143
21098,262143
21101,262143
21103,262143
21106,262143
21109,262143
21111,262143
21114,262143
21301,262143
21303,262143
21306,262143
21308,262143
21311,262143
21314,262143
21316,262143
21318,262143
21812,262143
21815,262143
21818,262143
21821,262143
21823,262143
21826,262143
21828,262143
21830,262143
21832,262143
21834,262143
21836,262143
21839,262143
21841,262143
21843,262143
21845,262143
21847,262143
21850,262143
21852,262143
21855,262143
21858,262143
21861,262143
22427,262143
22430,262143
22432,262143
22435,262143
22438,262143
22441,262143
22443,262143
22446,262143
22449,262143
22451,262143
22454,262143
22457,262143
22460,262143
22462,262143
22465,262143
22467,262143
22470,262143
22472,262143
22475,262143
22478,262143
22480,262143
22483,262143
22485,262143
22488,262143
22491,262143
22632,262143
22634,262143
22637,262143
22640,262143
22643,262143
22646,262143
22648,262143
22651,262143
22654,262143
22657,262143
22660,262143
22662,262143
22734,262143
22940,262143
22942,262143
22945,262143
22947,262143
22950,262143
22953,262143
22956,262143
23042,262143
23044,262143
23047,262143
23050,262143
23056,262143
23059,262143
23061,262143
23064,262143
23143,262143
23157,262143
23159,262143
23162,262143
23350,262143
23352,262143
23355,262143
23358,262143
23553,262143
23557,262143
23559,262143
23562,262143
23564,262143
23567,262143
23569,262143
23572,262143
23861,262143
23864,262143
23866,262143
23869,262143
23872,262143
23875,262143
23877,262143
23880,262143
23882,262143
23885,262143
23888,262143
23891,262143
24067,262143
24070,262143
24073,262143
24075,262143
24078,262143
24081,262143
24083,262143
24086,262143
24089,262143
24580,262143
24583,262143
24585,262143
24588,262143
24590,262143
24593,262143
24596,262143
24599,262143
24602,262143
24605,262143
24607,262143
24610,262143
24612,262143
24615,262143
24618,262143
24620,262143
24884,262143
24887,262143
24890,262143
24893,262143
24896,262143
24898,262143
24901,262143
24903,262143
24905,262143
24908,262143
24909,262143
24909,262143
24910,262143
24910,262143
24911,262143
24912,262143
24912,262143
25189,262143
25190,262143
25190,262143
25191,262143
25192,262143
25192,262143
25192,262143
25193,262143
25193,262143
25194,262143
25194,262143
25195,262143
25599,262143
25600,262143
25601,262143
25601,262143
25602,262143
25602,262143
25603,262143
25603,262143
25604,262143
25604,262143
25605,262143
25605,262143
25606,262143
25606,262143
25606,262143
25607,262143
25608,262143
25608,262143
25609,262143
25609,262143
25701,262143
25710,262143
25710,262143
25711,262143
25721,262143
25804,262143
26214,262143
26214,262143
26215,262143
26216,262143
26217,262143
26217,262143
26218,262143
26219,262143
26219,262143
26220,262143
26220,262143
26221,262143
26221,262143
26222,262143
26623,262143
26624,262143
26647,262143
26648,262143
26649,262143
26650,262143
26650,262143
26651,262143
26651,262143
26652,262143
26652,262143
26653,262143
26654,262143
26654,262143
26655,262143
26655,262143
26656,262143
26656,262143
26657,262143
26657,262143
26658,262143
26658,262143
26725,262143
27134,262143
27135,262143
27136,262143
27136,262143
27137,262143
27138,262143
27138,262143
27139,262143
27139,262143
27140,262143
27141,262143
27141,262143
27142,262143
27143,262143
27750,262143
27750,262143
27751,262143
